acceptable	可以接受的;令人滿意的	⠁⠒⠑⠏⠞⠁⠃⠇⠑
educational	教育的	⠫⠥⠉⠁⠰⠝⠁⠇
efficient	效率高的;有能力的	⠑⠖⠊⠉⠊⠢⠞
elderly	年長的;上了年紀的	⠑⠇⠙⠻⠇⠽
electric	電的	⠑⠇⠑⠉⠞⠗⠊⠉
electrical	電的	⠑⠇⠑⠉⠞⠗⠊⠉⠁⠇
electronic	電子的	⠑⠇⠑⠉⠞⠗⠕⠝⠊⠉
empty	空的	⠑⠍⠏⠞⠽
energetic	精力充沛的	⠢⠻⠛⠑⠞⠊⠉
enjoyable	快樂的;有樂趣的	⠢⠚⠕⠽⠁⠃⠇⠑
environmental	環境的;有關環境(保護)的	⠢⠧⠊⠗⠕⠝⠰⠞⠁⠇
evil	邪惡的	⠑⠧⠊⠇
expressive	表達的;表情豐富的	⠑⠭⠏⠗⠑⠎⠎⠊⠧⠑
extreme	極端的；極度的	⠑⠭⠞⠗⠑⠍⠑
faint	頭暈的;暗淡的	⠋⠁⠔⠞
fairy	小妖精(似)的;優雅的	⠋⠁⠊⠗⠽
fake	假的;冒充的	⠋⠁⠅⠑
familiar	熟悉的;常見的	⠋⠁⠍⠊⠇⠊⠜
fancy	花俏的;特級的	⠋⠁⠝⠉⠽
farther	far的比較級;	⠋⠜⠮⠗
fashionable	時尚的	⠋⠁⠩⠊⠕⠝⠁⠃⠇⠑
fond	喜歡的;愛好的	⠋⠕⠝⠙
frequent	頻繁的;屢次的	⠋⠗⠑⠟⠥⠢⠞
global	全世界的	⠛⠇⠕⠃⠁⠇
gradual	逐漸的；逐步的	⠛⠗⠁⠙⠥⠁⠇
handy	便利的;靈活的;易於操作的	⠓⠯⠽
harmful	有害的	⠓⠜⠍⠰⠇
hasty	倉促的；輕率的	⠓⠁⠌⠽
historic	歷史上著名的	⠓⠊⠌⠕⠗⠊⠉
historical	歷史的；史學的	⠓⠊⠌⠕⠗⠊⠉⠁⠇
hollow	空的;凹陷的	⠓⠕⠇⠇⠪
holy	神聖的	⠓⠕⠇⠽
horrible	可怕的	⠓⠕⠗⠗⠊⠃⠇⠑
hourly	以鐘點計算的	⠓⠳⠗⠇⠽
humorous	幽默的	⠓⠥⠍⠕⠗⠳⠎
icy	冰冷的	⠊⠉⠽
ideal	理想的；完美的	⠊⠙⠂⠇
immediate	即刻的	⠊⠍⠍
impressive	予人深刻印象的	⠊⠍⠏⠗⠑⠎⠎⠊⠧⠑
individual	個別的	⠔⠙⠊⠧⠊⠙⠥⠁⠇
indoor	室內的；戶內的	⠔⠙⠕⠕⠗
industrial	工業的；產業的	⠔⠙⠥⠌⠗⠊⠁⠇
inferior	低等的;下級的	⠔⠋⠻⠊⠕⠗
inner	內部的	⠔⠝⠻
innocent	無罪的；清白的	⠔⠝⠕⠉⠢⠞
internal	內部的	⠔⠞⠻⠝⠁⠇
ivory	乳白色的	⠊⠧⠕⠗⠽
jealous	嫉妒的	⠚⠂⠇⠳⠎
joyful	高興的；充滿喜悅的	⠚⠕⠽⠰⠇
latter	後者	⠇⠁⠞⠞⠻
liberal	自由主義的	⠇⠊⠃⠻⠁⠇
lively	精力充沛的;活潑的	⠇⠊⠧⠑⠇⠽
loose	鬆的	⠇⠕⠕⠎⠑
magical	魔術的；魔法的	⠍⠁⠛⠊⠉⠁⠇
major	較多的;主要的	⠍⠁⠚⠕⠗
manageable	可控制的	⠍⠁⠝⠁⠛⠂⠃⠇⠑
marvelous	了不起的	⠍⠜⠧⠑⠇⠳⠎
mathematical	數學的	⠍⠁⠮⠍⠁⠞⠊⠉⠁⠇
mature	成熟的;到期的	⠍⠁⠞⠥⠗⠑
meaningful	意味深長的;有意義的	⠍⠂⠝⠬⠰⠇
medical	醫學的;醫術的;醫療的	⠍⠫⠊⠉⠁⠇
mental	精神的；心理的	⠍⠢⠞⠁⠇
merry	愉快的；興高采烈的	⠍⠻⠗⠽
mighty	強大的;強有力的	⠍⠊⠣⠞⠽
minor	較小的;較次要的	⠍⠔⠕⠗
missing	缺掉的;失蹤的;找不到的	⠍⠊⠎⠎⠬
mobile	移動式的;流動的	⠍⠕⠃⠊⠇⠑
moist	潮濕的；微濕的	⠍⠕⠊⠌
moral	道德(上)的	⠍⠕⠗⠁⠇
musical	音樂的	⠍⠥⠎⠊⠉⠁⠇
native	本土的；本國的	⠝⠁⠞⠊⠧⠑
nervous	緊張的	⠝⠻⠧⠳⠎
noble	崇高的;宏偉的	⠝⠕⠃⠇⠑
normal	正常的；正規的	⠝⠕⠗⠍⠁⠇
obvious	明顯的;顯著的	⠕⠃⠧⠊⠳⠎
odd	奇特的；古怪的;單數的	⠕⠙⠙
opposite	相反的；對立的	⠕⠏⠏⠕⠎⠊⠞⠑
optimistic	樂觀的	⠕⠏⠞⠊⠍⠊⠌⠊⠉
original	最初的；本來的;原始的	⠕⠗⠊⠛⠔⠁⠇
outdoor	戶外的；露天的；野外的	⠳⠞⠙⠕⠕⠗
outer	外面的；外表的	⠳⠞⠻
pale	蒼白的;黯淡的	⠏⠁⠇⠑
plastic	可塑的；塑性的;整形的	⠏⠇⠁⠌⠊⠉
political	政治的;政治上的	⠏⠕⠇⠊⠞⠊⠉⠁⠇
pop	通俗的；流行的	⠏⠕⠏
practical	實用的	⠏⠗⠁⠉⠞⠊⠉⠁⠇
precious	寶貴的	⠏⠗⠑⠉⠊⠳⠎
previous	先的；以前的	⠏⠗⠑⠧⠊⠳⠎
primary	主要的;初級的	⠏⠗⠊⠍⠜⠽
probable	很可能發生的	⠏⠗⠕⠃⠁⠃⠇⠑
proper	適合的；適當的	⠏⠗⠕⠏⠻
protective	保護的；防護的	⠏⠗⠕⠞⠑⠉⠞⠊⠧⠑
pure	純粹的	⠏⠥⠗⠑
queer	古怪的;頭暈眼花的	⠟⠥⠑⠻
racial	種族的	⠗⠁⠉⠊⠁⠇
raw	生的；未煮過的;未加工的	⠗⠁⠺
reasonable	合理的；正當的	⠗⠂⠎⠕⠝⠁⠃⠇⠑
regional	地區的；局部的	⠗⠑⠛⠊⠕⠝⠁⠇
reliable	可信賴的;可靠的;確實的	⠗⠑⠇⠊⠁⠃⠇⠑
religious	宗教的;虔誠的	⠗⠑⠇⠊⠛⠊⠳⠎
remote	遙遠的;偏僻的	⠗⠑⠍⠕⠞⠑
representative	代表性的；典型的	⠗⠑⠏⠗⠑⠎⠢⠞⠁⠞⠊⠧⠑
ripe	成熟的	⠗⠊⠏⠑
roast	烘烤的	⠗⠕⠁⠌
romantic	富於浪漫色彩的	⠗⠕⠍⠁⠝⠞⠊⠉
rotten	腐爛的;發臭的	⠗⠕⠞⠞⠢
rough	粗糙的;表面不平的	⠗⠳⠣
routine	日常的；例行的；常規的	⠗⠳⠞⠔⠑
rusty	生鏽的	⠗⠥⠌⠽
satisfactory	令人滿意的	⠎⠁⠞⠊⠎⠋⠁⠉⠞⠕⠗⠽
scarce	缺乏的;不足的	⠎⠉⠜⠉⠑
scary	膽小的;提心吊膽的	⠎⠉⠜⠽
scientific	科學的	⠎⠉⠊⠢⠞⠊⠋⠊⠉
secondary	第二的;次要的	⠎⠑⠉⠕⠝⠙⠜⠽
sensible	有知覺的;明顯的	⠎⠢⠎⠊⠃⠇⠑
sensitive	敏感的;易受傷害的	⠎⠢⠎⠊⠞⠊⠧⠑
sexual	兩性的;關於性關係的	⠎⠑⠭⠥⠁⠇
sexy	性感的	⠎⠑⠭⠽
shady	靠不住的;名聲不好的	⠩⠁⠙⠽
shallow	淺的	⠩⠁⠇⠇⠪
shiny	晴朗的;有光澤的	⠩⠔⠽
significant	有意義的	⠎⠊⠛⠝⠊⠋⠊⠉⠁⠝⠞
sincere	誠懇的	⠎⠔⠉⠻⠑
slippery	容易滑的;不明確的	⠎⠇⠊⠏⠏⠻⠽
smooth	平滑的；光滑的;平坦的	⠎⠍⠕⠕⠹
solid	結實的;堅固的	⠎⠕⠇⠊⠙
sore	疼痛的	⠎⠕⠗⠑
specific	特殊的；特定的	⠎⠏⠑⠉⠊⠋⠊⠉
stable	穩定的；牢固的	⠌⠁⠃⠇⠑
stale	不新鮮的;污濁的;陳舊的	⠌⠁⠇⠑
steady	穩固的；平穩的	⠌⠂⠙⠽
steep	陡峭的	⠌⠑⠑⠏
sticky	黏的;塗有黏膠物質的;泥濘的	⠌⠊⠉⠅⠽
stiff	硬的;挺的;拘謹的；不自然的	⠌⠊⠋⠋
stormy	暴風雨的	⠌⠕⠗⠍⠽
stubborn	倔強的；頑固的	⠌⠥⠆⠕⠗⠝
sufficient	足夠的；充分的	⠎⠥⠖⠊⠉⠊⠢⠞
suitable	適當的;合適的;適宜的	⠎⠥⠊⠞⠁⠃⠇⠑
superior	優秀的；上等的	⠎⠥⠏⠻⠊⠕⠗
suspect	可疑的;受到懷疑的;不可信的	⠎⠥⠎⠏⠑⠉⠞
swift	快速的；快捷的	⠎⠺⠊⠋⠞
tame	經馴養的；馴服的	⠞⠁⠍⠑
technical	專門的；技術性的	⠞⠑⠡⠝⠊⠉⠁⠇
temporary	臨時的;暫時的	⠞⠑⠍⠏⠕⠗⠜⠽
tender	溫柔的	⠞⠢⠙⠻
thankful	感謝的；感激的	⠹⠁⠝⠅⠰⠇
tidy	整潔的	⠞⠊⠙⠽
tight	緊的	⠞⠊⠣⠞
tricky	狡猾的;機警的	⠞⠗⠊⠉⠅⠽
tropical	熱帶的	⠞⠗⠕⠏⠊⠉⠁⠇
truthful	誠實的	⠞⠗⠥⠹⠰⠇
typical	典型的；有代表性的	⠞⠽⠏⠊⠉⠁⠇
upset	心煩的；苦惱的	⠥⠏⠎⠑⠞
vacant	空白的;(職位)空缺的	⠧⠁⠉⠁⠝⠞
valuable	有價值的	⠧⠁⠇⠥⠁⠃⠇⠑
various	各種各樣的;好幾個的	⠧⠜⠊⠳⠎
violent	暴力的	⠧⠊⠕⠇⠢⠞
violet	紫色的	⠧⠊⠕⠇⠑⠞
visible	可看見的	⠧⠊⠎⠊⠃⠇⠑
vivid	鮮豔的;生動的	⠧⠊⠧⠊⠙
wealthy	富裕的;豐富的	⠺⠂⠇⠹⠽
wicked	缺德的;淘氣的;過分的	⠺⠊⠉⠅⠫
x-ray	X光線的	⠰⠭⠤⠗⠁⠽
account	把...視為;說明	⠁⠒⠨⠞
ache	(持續性地)疼痛;渴望	⠁⠡⠑
achieve	實現	⠁⠡⠊⠑⠧⠑
admire	欽佩;欣賞	⠁⠙⠍⠊⠗⠑
admit	承認;准許進入;可容納	⠁⠙⠍⠊⠞
adopt	採納;收養;接受	⠁⠙⠕⠏⠞
advertise	為...做廣告;公佈	⠁⠙⠧⠻⠞⠊⠎⠑
advise	勸告	⠁⠙⠧⠊⠎⠑
affect	影響	⠁⠖⠑⠉⠞
afford	買得起	⠁⠋⠿⠙
amaze	使大為驚奇	⠁⠍⠁⠵⠑
announce	宣佈	⠁⠝⠝⠳⠝⠉⠑
appeal	呼籲；懇求	⠁⠏⠏⠂⠇
appreciate	感謝;賞識	⠁⠏⠏⠗⠑⠉⠊⠁⠞⠑
approach	接近；靠近	⠁⠏⠏⠗⠕⠁⠡
approve	同意;贊許	⠁⠏⠏⠗⠕⠧⠑
assist	幫助；協助	⠁⠎⠎⠊⠌
attempt	試圖;企圖	⠁⠞⠞⠑⠍⠏⠞
attract	吸引	⠁⠞⠞⠗⠁⠉⠞
author	開創；發起;著作；編寫	⠁⠥⠹⠕⠗
awaken	醒;覺醒;喚起	⠁⠺⠁⠅⠢
award	授予	⠁⠺⠜⠙
ax	用斧劈;解雇	⠁⠭
axe	ax	⠁⠭⠑
bait	置餌於	⠃⠁⠊⠞
balance	使平衡	⠃⠁⠇⠨⠑
bandage	用繃帶包紮	⠃⠯⠁⠛⠑
bang	發出砰的一聲;砰地敲	⠃⠁⠝⠛
beam	以樑支撐;用...照射	⠃⠂⠍
behave	舉動;守規矩	⠆⠓⠁⠧⠑
benefit	對...有益	⠃⠢⠑⠋⠊⠞
blame	歸咎於	⠃⠇⠁⠍⠑
blanket	(似)用毯覆蓋;掩蓋	⠃⠇⠁⠝⠅⠑⠞
bleed	流血	⠃⠇⠑⠫
bless	祝福;保佑	⠃⠨⠎
boot	開機	⠃⠕⠕⠞
border	毗鄰；接界	⠃⠕⠗⠙⠻
bore	使厭煩	⠃⠕⠗⠑
brake	煞車；制動	⠃⠗⠁⠅⠑
breathe	呼吸	⠃⠗⠂⠮
breeze	吹著微風	⠃⠗⠑⠑⠵⠑
bubble	沸騰;冒泡	⠃⠥⠆⠇⠑
bud	使發芽	⠃⠥⠙
budget	把...編入預算	⠃⠥⠙⠛⠑⠞
bump	碰；撞	⠃⠥⠍⠏
burden	加重壓於	⠃⠥⠗⠙⠢
bury	埋葬；安葬	⠃⠥⠗⠽
buzz	嗡嗡叫	⠃⠥⠵⠵
canoe	用獨木舟載運	⠉⠁⠝⠕⠑
capture	捕獲;俘虜	⠉⠁⠏⠞⠥⠗⠑
cast	投；擲;	⠉⠁⠌
celebrate	慶祝	⠉⠑⠇⠑⠃⠗⠁⠞⠑
chain	拘禁;束縛	⠡⠁⠔
challenge	對...提出異議	⠡⠁⠇⠇⠢⠛⠑
channel	在...開水道;傳送	⠡⠁⠝⠝⠑⠇
charm	使陶醉	⠡⠜⠍
chat	閒談；聊天	⠡⠁⠞
cheer	向...歡呼	⠡⠑⠻
chew	咀嚼	⠡⠑⠺
chip	削；鑿；鏟	⠡⠊⠏
choke	使窒息;哽住	⠡⠕⠅⠑
chop	砍；劈；斬	⠡⠕⠏
click	發出卡嗒(或喀嚓)聲	⠉⠇⠊⠉⠅
clip	剪;修剪;剪短;剪除	⠉⠇⠊⠏
combine	使結合	⠉⠕⠍⠃⠔⠑
comfort	安慰；慰問	⠉⠕⠍⠿⠞
command	命令;掌握;	⠉⠕⠍⠍⠯
communicate	傳達;傳遞	⠉⠕⠍⠍⠥⠝⠊⠉⠁⠞⠑
compete	競爭;對抗	⠉⠕⠍⠏⠑⠞⠑
concern	使擔心	⠒⠉⠻⠝
conclude	推斷出；斷定	⠒⠉⠇⠥⠙⠑
condition	決定;為...的條件	⠒⠙⠊⠰⠝
confuse	使迷惑	⠒⠋⠥⠎⠑
connect	連接；連結	⠒⠝⠑⠉⠞
contract	締結;訂契約;承包;收縮	⠒⠞⠗⠁⠉⠞
couch	使躺下;表達;蹲著;埋伏	⠉⠳⠡
cradle	撫育	⠉⠗⠁⠙⠇⠑
crash	碰撞；倒下；墜落	⠉⠗⠁⠩
crawl	爬行；蠕動	⠉⠗⠁⠺⠇
credit	把...記入貸方	⠉⠗⠫⠊⠞
creep	躡手躡足地走	⠉⠗⠑⠑⠏
crown	為...加冕	⠉⠗⠪⠝
cycle	循環；輪轉	⠉⠽⠉⠇⠑
dam	築壩於；築壩攔(水)	⠙⠁⠍
dare	敢;膽敢	⠙⠜⠑
dash	使(希望等)破滅;使沮喪	⠙⠁⠩
deafen	使聾;淹沒(聲音)	⠙⠂⠋⠢
deepen	使加深;使強烈;使變濃	⠙⠑⠑⠏⠢
define	解釋；給...下定義	⠙⠑⠋⠔⠑
deposit	放下；放置;寄存	⠙⠑⠏⠕⠎⠊⠞
destroy	毀壞；破壞	⠙⠑⠌⠗⠕⠽
detail	詳述；詳細說明	⠙⠑⠞⠁⠊⠇
determine	決定	⠙⠑⠞⠻⠍⠔⠑
diet	節食	⠙⠊⠑⠞
dine	進餐；用餐	⠙⠔⠑
dip	浸;泡	⠙⠊⠏
disappoint	使失望	⠲⠁⠏⠏⠕⠔⠞
discount	將...打折扣	⠲⠉⠨⠞
dislike	不喜愛；厭惡	⠲⠇⠊⠅⠑
ditch	掘溝	⠙⠊⠞⠡
dive	跳水	⠙⠊⠧⠑
dock	靠碼頭;入船塢	⠙⠕⠉⠅
dodge	閃開;迴避	⠙⠕⠙⠛⠑
dose	(按劑量)給...服藥	⠙⠕⠎⠑
drain	排出(液體)	⠙⠗⠁⠔
drip	滴下	⠙⠗⠊⠏
drown	淹沒；浸濕	⠙⠗⠪⠝
dump	傾倒;拋棄	⠙⠥⠍⠏
dust	撣去；擦去	⠙⠥⠌
echo	發出回聲	⠑⠡⠕
edit	編輯;校訂	⠫⠊⠞
educate	教育	⠫⠥⠉⠁⠞⠑
elbow	用肘推；擠進	⠑⠇⠃⠪
emphasize	強調	⠑⠍⠏⠓⠁⠎⠊⠵⠑
employ	僱用	⠑⠍⠏⠇⠕⠽
enable	使成為可能	⠢⠁⠃⠇⠑
engage	使訂婚;使忙於	⠢⠛⠁⠛⠑
envy	羨慕;嫉妒	⠢⠧⠽
erase	擦掉；抹去	⠻⠁⠎⠑
escape	逃跑;逃脫	⠑⠎⠉⠁⠏⠑
exchange	交換;調換;兌換	⠑⠭⠡⠁⠝⠛⠑
exit	出去；離去;退去	⠑⠭⠊⠞
experiment	進行實驗；試驗	⠑⠭⠏⠻⠊⠰⠞
explode	使爆炸	⠑⠭⠏⠇⠕⠙⠑
export	輸出	⠑⠭⠏⠕⠗⠞
fade	凋謝；枯萎;(顏色)褪去	⠋⠁⠙⠑
fashion	把...塑造成	⠋⠁⠩⠊⠕⠝
fasten	紮牢;繫緊	⠋⠁⠌⠢
fax	傳真傳輸	⠋⠁⠭
feature	以...為特色	⠋⠂⠞⠥⠗⠑
file	把...歸檔	⠋⠊⠇⠑
fist	拳打	⠋⠊⠌
flame	發火焰；燃燒	⠋⠇⠁⠍⠑
flavor	給...調味	⠋⠇⠁⠧⠕⠗
float	浮	⠋⠇⠕⠁⠞
flock	聚集;成群地去(或來)	⠋⠇⠕⠉⠅
fold	摺疊;對摺	⠋⠕⠇⠙
found	建立;建造;鑄造;熔化	⠋⠨⠙
freeze	結冰；凝固;凍結	⠋⠗⠑⠑⠵⠑
frustrate	挫敗;阻撓	⠋⠗⠥⠌⠗⠁⠞⠑
fry	油炸	⠋⠗⠽
fund	提供(事業；活動等的)資金	⠋⠥⠝⠙
gamble	賭博;打賭	⠛⠁⠍⠃⠇⠑
gang	成群結隊;結夥	⠛⠁⠝⠛
gesture	做手勢；用動作示意	⠛⠑⠌⠥⠗⠑
glance	看一下；一瞥;掃視	⠛⠇⠨⠑
glory	驕傲;自豪	⠛⠇⠕⠗⠽
glow	發白熱光；灼熱	⠛⠇⠪
gossip	閒聊	⠛⠕⠎⠎⠊⠏
grab	攫取；抓取	⠛⠗⠁⠃
graduate	畢業	⠛⠗⠁⠙⠥⠁⠞⠑
grasp	抓牢;握緊	⠛⠗⠁⠎⠏
grin	露齒而笑	⠛⠗⠔
harbor	庇護;藏匿	⠓⠜⠃⠕⠗
harm	損害；傷害;危害	⠓⠜⠍
harvest	收割;收穫	⠓⠜⠧⠑⠌
hatch	孵出	⠓⠁⠞⠡
headline	給...加標題	⠓⠂⠙⠇⠔⠑
heal	癒合;痊癒	⠓⠂⠇
heap	裝滿	⠓⠂⠏
heel	給(鞋等)裝後跟;緊跟;(船)傾斜	⠓⠑⠑⠇
hesitate	躊躇;猶豫	⠓⠑⠎⠊⠞⠁⠞⠑
hike	徒步旅行	⠓⠊⠅⠑
hint	暗示；示意	⠓⠔⠞
honor	使增光;承兌；支付	⠓⠕⠝⠕⠗
hug	摟抱	⠓⠥⠛
hush	使沈默；使安靜	⠓⠥⠩
import	輸入	⠊⠍⠏⠕⠗⠞
impress	給...極深的印象	⠊⠍⠏⠗⠑⠎⠎
inform	通知；告知	⠔⠿⠍
injure	傷害;損害;毀壞	⠔⠚⠥⠗⠑
inspect	檢查;審查	⠔⠎⠏⠑⠉⠞
interrupt	打斷(談話和工作等)	⠔⠞⠻⠗⠥⠏⠞
investigate	調查；研究	⠔⠧⠑⠌⠊⠛⠁⠞⠑
jail	監禁;拘留	⠚⠁⠊⠇
jaw	對...嘮叨;責罵	⠚⠁⠺
jet	噴出；射出	⠚⠑⠞
journey	旅行	⠚⠳⠗⠝⠑⠽
junk	把...當廢物丟棄;拋棄	⠚⠥⠝⠅
kneel	跪(下)	⠅⠝⠑⠑⠇
knight	封...為爵士；授...以爵士位	⠅⠝⠊⠣⠞
knit	編織	⠅⠝⠊⠞
knot	把...打結;捆紮	⠅⠝⠕⠞
label	貼標籤於	⠇⠁⠃⠑⠇
lace	用花邊等裝飾	⠇⠁⠉⠑
leak	洩漏(祕密等)	⠇⠂⠅
leap	跳；跳躍	⠇⠂⠏
lengthen	使加長；使延長	⠇⠢⠛⠮⠝
litter	亂丟(雜物)	⠇⠊⠞⠞⠻
load	裝；裝載	⠇⠕⠁⠙
loosen	鬆開；解開	⠇⠕⠕⠎⠢
lullaby	唱搖籃曲使入睡	⠇⠥⠇⠇⠁⠃⠽
manage	管理;經營;處理	⠍⠁⠝⠁⠛⠑
march	行軍;把(人)強行帶走	⠍⠜⠡
melt	融化;熔化	⠍⠑⠇⠞
memorize	記住;背熟	⠍⠑⠍⠕⠗⠊⠵⠑
mend	修理；修補	⠍⠢⠙
mention	提到；說起	⠍⠢⠰⠝
mess	弄髒；弄亂	⠍⠑⠎⠎
microwave	用微波爐烹調	⠍⠊⠉⠗⠕⠺⠁⠧⠑
mill	碾碎	⠍⠊⠇⠇
mist	使蒙上薄霧	⠍⠊⠌
mob	成群襲擊；圍攻	⠍⠕⠃
mop	拖洗;擦去	⠍⠕⠏
murder	謀殺；兇殺	⠍⠥⠗⠙⠻
mushroom	香菇	⠍⠥⠩⠗⠕⠕⠍
nap	打盹；小睡	⠝⠁⠏
nickname	給...起綽號	⠝⠊⠉⠅⠐⠝
observe	看到;觀察	⠕⠃⠎⠻⠧⠑
occasion	引起;惹起	⠕⠒⠁⠨⠝
orphan	使成孤兒	⠕⠗⠏⠓⠁⠝
outline	概述；略述	⠳⠞⠇⠔⠑
owe	欠(債等);應給予;應該做	⠪⠑
pad	填塞；襯填	⠏⠁⠙
panic	使恐慌	⠏⠁⠝⠊⠉
parade	在...遊行	⠏⠜⠁⠙⠑
parcel	分;分配	⠏⠜⠉⠑⠇
participate	參加；參與	⠐⠏⠊⠉⠊⠏⠁⠞⠑
pause	中止	⠏⠁⠥⠎⠑
pave	鋪；築(路等)	⠏⠁⠧⠑
paw	(用腳爪等)抓;扒	⠏⠁⠺
peak	使尖起;達到高峰;聳起	⠏⠂⠅
peel	削去;剝；去(皮；殼等)	⠏⠑⠑⠇
peep	窺；偷看	⠏⠑⠑⠏
perform	履行;執行;表演；	⠏⠻⠿⠍
permit	允許；許可；准許	⠏⠻⠍⠊⠞
persuade	說服；勸服	⠏⠻⠎⠥⠁⠙⠑
pickle	醃製;將...做成泡菜	⠏⠊⠉⠅⠇⠑
pilot	駕駛(飛機等);帶領;引導	⠏⠊⠇⠕⠞
pit	使成凹;挖坑於	⠏⠊⠞
pity	憐憫;同情	⠏⠰⠽
plug	把...塞住；堵塞	⠏⠇⠥⠛
poll	對...進行民意測驗	⠏⠕⠇⠇
pollute	污染	⠏⠕⠇⠇⠥⠞⠑
portion	分配	⠏⠕⠗⠰⠝
postpone	延遲；延緩	⠏⠕⠌⠏⠐⠕
pour	倒；灌；注	⠏⠳⠗
powder	變成粉末;搽粉	⠏⠪⠙⠻
pressure	對...施加壓力;迫使	⠏⠗⠑⠎⠎⠥⠗⠑
pretend	佯裝;假裝	⠏⠗⠑⠞⠢⠙
prevent	防止；預防	⠏⠗⠑⠧⠢⠞
process	加工沖洗(膠卷)	⠏⠗⠕⠉⠑⠎⠎
profit	得益；獲益	⠏⠗⠷⠊⠞
program	為...安排節目;設計電腦程式	⠏⠗⠕⠛⠗⠁⠍
promote	推銷(商品等)	⠏⠗⠕⠍⠕⠞⠑
punch	用拳猛擊	⠏⠥⠝⠡
pursue	追求;從事	⠏⠥⠗⠎⠥⠑
quarrel	爭吵	⠟⠥⠜⠗⠑⠇
quote	引用;引述	⠟⠥⠕⠞⠑
rank	把...分等;把...評級	⠗⠁⠝⠅
rate	對...評價	⠗⠁⠞⠑
react	作出反應	⠗⠑⠁⠉⠞
recognize	識別;認識;承認	⠗⠑⠉⠕⠛⠝⠊⠵⠑
recover	尋回;恢復	⠗⠑⠉⠕⠧⠻
reduce	減少;縮小;降低	⠗⠫⠥⠉⠑
