absent	缺席的；不在場的	⠁⠃⠎⠢⠞
ordinary	平常的	⠕⠗⠙⠔⠜⠽
overseas	國外的	⠕⠧⠻⠎⠂⠎
painful	痛的	⠏⠁⠔⠰⠇
particular	特殊的;	⠐⠏⠊⠉⠥⠇⠜
patient	有耐心的；能忍受的	⠏⠁⠞⠊⠢⠞
peaceful	寧靜的;和平的	⠏⠂⠉⠑⠰⠇
perfect	完美的	⠏⠻⠋⠑⠉⠞
personal	個人的	⠏⠻⠎⠕⠝⠁⠇
pink	粉紅色的	⠏⠔⠅
plain	簡樸的;清楚的	⠏⠇⠁⠔
playful	愛玩耍的;開玩笑的	⠏⠇⠁⠽⠰⠇
pleasant	愉快的;美好的	⠏⠇⠂⠎⠁⠝⠞
plus	正的;外加的;有益的;陽性的;正電的	⠏⠇⠥⠎
polite	有禮貌的	⠏⠕⠇⠊⠞⠑
popular	流行的;受歡迎的	⠏⠕⠏⠥⠇⠜
positive	正面的;確信的	⠏⠕⠎⠊⠞⠊⠧⠑
powerful	強有力的	⠏⠪⠻⠰⠇
present	出席的;當前的;現在式的	⠏⠗⠑⠎⠢⠞
principal	主要的；首要的;資本的；本金的	⠏⠗⠔⠉⠊⠏⠁⠇
private	私人的	⠏⠗⠊⠧⠁⠞⠑
proud	感光榮的;驕傲的	⠏⠗⠳⠙
rainy	下雨的;多雨的	⠗⠁⠔⠽
rapid	迅速的	⠗⠁⠏⠊⠙
rare	罕見的	⠗⠜⠑
recent	最近的	⠗⠑⠉⠢⠞
regular	通常的;定期的	⠗⠑⠛⠥⠇⠜
responsible	負責任的	⠗⠑⠎⠏⠕⠝⠎⠊⠃⠇⠑
rocky	岩石的;多岩石的	⠗⠕⠉⠅⠽
royal	皇家的	⠗⠕⠽⠁⠇
rude	無禮的	⠗⠥⠙⠑
salty	有鹽分的;鹹味濃的	⠎⠁⠇⠞⠽
secret	神祕的；奧祕的	⠎⠑⠉⠗⠑⠞
select	精選的;卓越的	⠎⠑⠇⠑⠉⠞
separate	單獨的；個別的	⠎⠑⠏⠜⠁⠞⠑
serious	嚴肅的;嚴重的;認真的	⠎⠻⠊⠳⠎
shocked	震驚的	⠩⠕⠉⠅⠫
silent	寂靜的	⠎⠊⠇⠢⠞
similar	相似的	⠎⠊⠍⠊⠇⠜
single	單一的;獨身的	⠎⠬⠇⠑
skilled	熟練的;有技能的	⠎⠅⠊⠇⠇⠫
skillful	有技術的；	⠎⠅⠊⠇⠇⠰⠇
skinny	很瘦的	⠎⠅⠔⠝⠽
sleepy	想睡的	⠎⠇⠑⠑⠏⠽
slender	纖細的	⠎⠇⠢⠙⠻
slim	細長的;微小的	⠎⠇⠊⠍
snowy	似雪的;多雪的	⠎⠝⠪⠽
social	社會的;交際的	⠎⠕⠉⠊⠁⠇
southern	南方的;向南方的	⠎⠳⠮⠗⠝
square	正方形的	⠎⠟⠥⠜⠑
standard	一般性的	⠌⠯⠜⠙
straight	直的	⠌⠗⠁⠊⠣⠞
strict	嚴謹的；精確的	⠌⠗⠊⠉⠞
successful	成功的	⠎⠥⠒⠑⠎⠎⠰⠇
sudden	突然的	⠎⠥⠙⠙⠢
sunny	晴朗的	⠎⠥⠝⠝⠽
talkative	好說話的	⠞⠁⠇⠅⠁⠞⠊⠧⠑
tasty	高雅的;大方的	⠞⠁⠌⠽
teenage	十幾歲的	⠞⠑⠢⠁⠛⠑
terrible	可怕的	⠞⠻⠗⠊⠃⠇⠑
terrific	非常好的;可怕的	⠞⠻⠗⠊⠋⠊⠉
thick	粗的;厚的	⠹⠊⠉⠅
thin	瘦的	⠹⠔
thirsty	口渴的	⠹⠊⠗⠌⠽
traditional	傳統的	⠞⠗⠁⠙⠊⠰⠝⠁⠇
ugly	醜的	⠥⠛⠇⠽
uniform	相同的；一致的;不變的	⠥⠝⠊⠿⠍
upper	較高的	⠥⠏⠏⠻
used	習慣於;	⠥⠎⠫
usual	例常的	⠥⠎⠥⠁⠇
video	電視的;電視影像的;錄影的	⠧⠊⠙⠑⠕
western	西方的	⠺⠑⠌⠻⠝
wet	潮溼的	⠺⠑⠞
whatever	無論怎麼的	⠱⠁⠞⠐⠑
wild	野生的;無法無天的	⠺⠊⠇⠙
willing	願意的；樂意的	⠺⠊⠇⠇⠬
windy	多風的	⠺⠔⠙⠽
wise	有智慧的	⠺⠊⠎⠑
wonderful	很棒的;奇妙的	⠺⠕⠝⠙⠻⠰⠇
wooden	木製的;僵硬的;笨拙的	⠺⠕⠕⠙⠢
accept	接受	⠁⠒⠑⠏⠞
advance	推進;提升;貸(款)	⠁⠙⠧⠨⠑
aid	有助於	⠁⠊⠙
aim	瞄準；對準	⠁⠊⠍
alarm	向...報警;使驚慌不安	⠁⠇⠜⠍
amount	合計；共計	⠁⠍⠨⠞
apply	塗；敷;應用	⠁⠏⠏⠇⠽
argue	爭論	⠜⠛⠥⠑
arm	用武器裝備;提供；配備;	⠜⠍
arrange	排列;整理	⠜⠗⠁⠝⠛⠑
arrest	逮捕;拘留	⠜⠗⠑⠌
arrive	到達	⠜⠗⠊⠧⠑
attack	進攻;襲擊	⠁⠞⠞⠁⠉⠅
attend	出席；參加;照料;伴隨	⠁⠞⠞⠢⠙
avoid	避免	⠁⠧⠕⠊⠙
baby-sit	當臨時保姆	⠃⠁⠃⠽⠤⠎⠊⠞
bake	烘;烤	⠃⠁⠅⠑
barbecue	(在戶外)烤；炙(肉類)	⠃⠜⠃⠑⠉⠥⠑
bark	狗叫	⠃⠜⠅
battle	與...作戰	⠃⠁⠞⠞⠇⠑
BBQ	烤肉	⠠⠠⠃⠃⠟
bead	用珠裝飾	⠃⠂⠙
bear	承受	⠃⠑⠜
beep	作嗶嗶聲;吹警笛	⠃⠑⠑⠏
beg	乞討;懇求	⠃⠑⠛
belt	用皮帶抽打;環繞;猛擊	⠃⠑⠇⠞
bend	折彎;轉彎	⠃⠢⠙
bet	以(錢;物等)打賭	⠃⠑⠞
bill	記入帳	⠃⠊⠇⠇
bind	捆;綁	⠃⠔⠙
board	上車;上船	⠃⠕⠜⠙
boil	(水等)沸騰;開;滾	⠃⠕⠊⠇
bomb	轟炸；投彈;慘敗	⠃⠕⠍⠃
borrow	借	⠃⠕⠗⠗⠪
boss	指揮;作威作福	⠃⠕⠎⠎
bother	煩擾	⠃⠕⠮⠗
bottle	把...裝入瓶中;約束；抑制(感情);隱藏	⠃⠕⠞⠞⠇⠑
bow	鞠躬	⠃⠪
branch	出枝;分支;分岔	⠃⠗⠁⠝⠡
brand	印...商標於	⠃⠗⠯
broadcast	廣播	⠃⠗⠕⠁⠙⠉⠁⠌
brush	刷	⠃⠗⠥⠩
burn	燒;燙傷	⠃⠥⠗⠝
burst	爆開;闖入	⠃⠥⠗⠌
button	扣鈕扣	⠃⠥⠞⠞⠕⠝
cable	發越洋電報	⠉⠁⠃⠇⠑
cancel	取消	⠉⠨⠑⠇
carpet	在...上鋪地毯;斥責	⠉⠜⠏⠑⠞
cart	用運貨車裝運	⠉⠜⠞
cartoon	畫漫畫;畫草圖	⠉⠜⠞⠕⠕⠝
cash	兌現	⠉⠁⠩
cave	塌落；倒坍	⠉⠁⠧⠑
chalk	使變白;畫出...的草圖;規劃;記下	⠡⠁⠇⠅
change	改變;更改	⠡⠁⠝⠛⠑
charge	索價;充電	⠡⠜⠛⠑
cheat	欺騙;作弊	⠡⠂⠞
choose	選擇;挑選	⠡⠕⠕⠎⠑
circle	畫圓圈;圈出;盤旋;流傳	⠉⠊⠗⠉⠇⠑
claim	聲稱	⠉⠇⠁⠊⠍
clap	拍(手);鼓(掌)	⠉⠇⠁⠏
claw	用爪子抓	⠉⠇⠁⠺
clothe	給...穿衣;為...提供衣服	⠉⠇⠕⠮
clown	開玩笑;裝傻	⠉⠇⠪⠝
club	募集;捐獻;集資;聯合起來	⠉⠇⠥⠃
coach	訓練；指導；輔導;乘馬車旅行	⠉⠕⠁⠡
coin	鑄造(貨幣);創造；杜撰(新詞等)	⠉⠕⠔
collect	收集	⠉⠕⠇⠇⠑⠉⠞
comb	用梳子梳理	⠉⠕⠍⠃
compare	比較	⠉⠕⠍⠏⠜⠑
complain	抱怨	⠉⠕⠍⠏⠇⠁⠔
confirm	確認	⠒⠋⠊⠗⠍
conflict	矛盾；衝突	⠒⠋⠇⠊⠉⠞
consider	考慮	⠒⠎⠊⠙⠻
contact	接觸;聯繫	⠒⠞⠁⠉⠞
contain	包含;容納	⠒⠞⠁⠔
control	控制	⠒⠞⠗⠕⠇
copy	拷貝;抄襲	⠉⠕⠏⠽
cough	咳嗽	⠉⠳⠣
couple	連接;結合;成婚;交配	⠉⠳⠏⠇⠑
court	向...獻殷勤;追求;引誘;求婚	⠉⠳⠗⠞
crane	伸(頸)	⠉⠗⠁⠝⠑
create	創造	⠉⠗⠂⠞⠑
crop	收成	⠉⠗⠕⠏
cross	越過;渡過	⠉⠗⠕⠎⠎
crow	得意洋洋；幸災樂禍	⠉⠗⠪
crowd	擠滿;聚集	⠉⠗⠪⠙
cure	治癒	⠉⠥⠗⠑
curtain	(用簾子)遮掉；隔開	⠉⠥⠗⠞⠁⠔
damage	損害	⠙⠁⠍⠁⠛⠑
dawn	破曉；	⠙⠁⠺⠝
debate	辯論	⠙⠑⠃⠁⠞⠑
decorate	佈置	⠙⠑⠉⠕⠗⠁⠞⠑
delay	延緩;使延期	⠙⠑⠇⠁⠽
deliver	遞送;發表；講;給……接生	⠙⠑⠇⠊⠧⠻
deny	否定；否認	⠙⠢⠽
depend	依賴	⠙⠑⠏⠢⠙
describe	描述	⠙⠑⠎⠉⠗⠊⠃⠑
desert	遺棄;離棄;逃跑	⠙⠑⠎⠻⠞
design	設計	⠙⠑⠎⠊⠛⠝
desire	渴望;要求;想與...發生性關係	⠙⠑⠎⠊⠗⠑
detect	查出	⠙⠑⠞⠑⠉⠞
develop	發展	⠙⠑⠧⠑⠇⠕⠏
dial	撥(電話號碼)	⠙⠊⠁⠇
disagree	不一致；不符	⠲⠁⠛⠗⠑⠑
disappear	消失	⠲⠁⠏⠏⠑⠜
discuss	討論	⠲⠉⠥⠎⠎
display	陳列;展出	⠲⠏⠇⠁⠽
distance	使疏遠	⠲⠞⠨⠑
divide	分開;除以	⠙⠊⠧⠊⠙⠑
dot	點綴;	⠙⠕⠞
doubt	懷疑	⠙⠳⠃⠞
drag	拉；拖	⠙⠗⠁⠛
dress	穿著	⠙⠗⠑⠎⠎
drop	(使)滴落;丟下	⠙⠗⠕⠏
drug	使服麻醉藥;使服毒品	⠙⠗⠥⠛
drum	打鼓;咚咚地敲	⠙⠗⠥⠍
earn	賺到	⠑⠜⠝
effect	造成;招致	⠑⠖⠑⠉⠞
encourage	鼓勵;助長	⠢⠉⠳⠗⠁⠛⠑
enjoy	喜歡;享受	⠢⠚⠕⠽
excite	使興奮;使激動	⠑⠭⠉⠊⠞⠑
excuse	原諒;借光	⠑⠭⠉⠥⠎⠑
exercise	鍛鍊;操練;練習;運用；行使	⠑⠭⠻⠉⠊⠎⠑
exist	存在	⠑⠭⠊⠌
expect	期待	⠑⠭⠏⠑⠉⠞
experience	經歷;感受	⠑⠭⠏⠻⠊⠰⠑
explain	解釋	⠑⠭⠏⠇⠁⠔
fail	失敗;不及格	⠋⠁⠊⠇
fault	挑...的毛病;產生斷層	⠋⠁⠥⠇⠞
favor	支持；擁護;有利於	⠋⠁⠧⠕⠗
fence	用柵(或籬)圍起來;防護;保衛	⠋⠰⠑
figure	估計;描繪	⠋⠊⠛⠥⠗⠑
film	把...拍成電影;生薄膜	⠋⠊⠇⠍
fix	修理	⠋⠊⠭
flag	打旗號表示;衰退；低落	⠋⠇⠁⠛
flash	使閃光;使閃爍	⠋⠇⠁⠩
flood	淹沒;使泛濫	⠋⠇⠕⠕⠙
flour	撒粉於;把...磨成粉	⠋⠇⠳⠗
flow	(河水等)流動	⠋⠇⠪
flute	用長笛奏(樂曲)	⠋⠇⠥⠞⠑
focus	集中	⠋⠕⠉⠥⠎
fool	愚弄	⠋⠕⠕⠇
forgive	原諒	⠿⠛⠊⠧⠑
form	形成	⠿⠍
frighten	害怕;吃驚	⠋⠐⠗⠢
function	起作用	⠋⠥⠝⠉⠰⠝
gain	得到;增進	⠛⠁⠔
garage	把(汽車等)送入車庫(或修理廠)	⠛⠜⠁⠛⠑
gather	集合	⠛⠁⠮⠗
glue	黏住;緊附	⠛⠇⠥⠑
golf	打高爾夫球	⠛⠕⠇⠋
govern	統治;管理	⠛⠕⠧⠻⠝
grade	將...分等級;將...分類	⠛⠗⠁⠙⠑
greet	問候;致敬	⠛⠗⠑⠑⠞
guard	保衛;看守	⠛⠥⠜⠙
hammer	敲打	⠓⠁⠍⠍⠻
handle	處理;搬弄	⠓⠯⠇⠑
hang	把…掛起;吊	⠓⠁⠝⠛
hide	躲;隱藏	⠓⠊⠙⠑
hire	雇用	⠓⠊⠗⠑
hop	單足跳	⠓⠕⠏
hum	哼曲子	⠓⠥⠍
hunt	追獵	⠓⠥⠝⠞
hurry	趕快	⠓⠥⠗⠗⠽
ignore	不理睬	⠊⠛⠝⠕⠗⠑
imagine	想像	⠊⠍⠁⠛⠔⠑
improve	改善	⠊⠍⠏⠗⠕⠧⠑
include	包含	⠔⠉⠇⠥⠙⠑
increase	增加	⠔⠉⠗⠂⠎⠑
indicate	指出	⠔⠙⠊⠉⠁⠞⠑
influence	影響；感化;左右	⠔⠋⠇⠥⠰⠑
ink	用墨水寫;簽署;簽訂(合同等)	⠔⠅
insist	堅持	⠔⠎⠊⠌
instance	舉...為例;引證	⠔⠌⠨⠑
interview	面談;採訪	⠔⠞⠻⠧⠊⠑⠺
introduce	介紹	⠔⠞⠗⠕⠙⠥⠉⠑
invent	發明	⠔⠧⠢⠞
invite	邀請	⠔⠧⠊⠞⠑
jam	擠;夾傷	⠚⠁⠍
jazz	使活潑;奏爵士樂;遊蕩	⠚⠁⠵⠵
jog	慢跑	⠚⠕⠛
judge	判斷;審判	⠚⠥⠙⠛⠑
knock	敲	⠅⠝⠕⠉⠅
lend	出借	⠇⠢⠙
lick	舔	⠇⠊⠉⠅
limit	限定	⠇⠊⠍⠊⠞
link	聯繫	⠇⠔⠅
locate	把...設置在;使...座落於	⠇⠕⠉⠁⠞⠑
lock	鎖住	⠇⠕⠉⠅
log	伐(林木);把...記入航海日誌	⠇⠕⠛
lose	輸;失去	⠇⠕⠎⠑
lower	放下；降下;放低;減低;減弱	⠇⠪⠻
maintain	維持;保養	⠍⠁⠔⠞⠁⠔
mark	做記號	⠍⠜⠅
mask	在(臉上)戴面具;掩飾	⠍⠁⠎⠅
match	相配	⠍⠁⠞⠡
mate	使交配	⠍⠁⠞⠑
measure	計量	⠍⠂⠎⠥⠗⠑
mine	開礦;佈雷;破壞	⠍⠔⠑
mirror	反映；反射	⠍⠊⠗⠗⠕⠗
mix	混合	⠍⠊⠭
model	塑像;當模特兒	⠍⠕⠙⠑⠇
motion	打手勢;搖(或點)頭示意;擺動；走	⠍⠕⠰⠝
multiply	乘；使相乘	⠍⠥⠇⠞⠊⠏⠇⠽
nail	將...釘牢;捕獲;揭露;擊；打	⠝⠁⠊⠇
needle	(用話)刺激；挑逗;用針縫	⠝⠑⠫⠇⠑
neighbor	與...為鄰	⠝⠑⠊⠣⠃⠕⠗
nest	築巢;巢居;伏窩	⠝⠑⠌
net	用網捕;使淨賺	⠝⠑⠞
nod	點頭	⠝⠕⠙
obey	服從	⠕⠃⠑⠽
object	反對	⠕⠃⠚⠑⠉⠞
occur	發生;出現	⠕⠒⠥⠗
offer	提供	⠷⠋⠻
omit	略過	⠕⠍⠊⠞
operate	運作;運轉;動手術	⠕⠏⠻⠁⠞⠑
organize	使有條理;安排	⠕⠗⠛⠁⠝⠊⠵⠑
pack	包裝	⠏⠁⠉⠅
package	把...打包;包裝	⠏⠁⠉⠅⠁⠛⠑
pain	使煩惱；使痛苦;使疼痛	⠏⠁⠔
pardon	寬恕	⠏⠜⠙⠕⠝
parrot	機械地模仿	⠏⠜⠗⠕⠞
paste	黏貼	⠏⠁⠌⠑
pat	輕拍；撫拍	⠏⠁⠞
pattern	仿造；模仿	⠏⠁⠞⠞⠻⠝
pepper	加胡椒粉於;使佈滿;嚴懲	⠏⠑⠏⠏⠻
phone	打電話	⠏⠓⠐⠕
photo	給...拍照;	⠏⠓⠕⠞⠕
photograph	拍照	⠏⠓⠕⠞⠕⠛⠗⠁⠏⠓
phrase	用言語表達；用(詞)	⠏⠓⠗⠁⠎⠑
pick	採收;撿起;選	⠏⠊⠉⠅
picnic	去野餐；參加野餐;在戶外用餐	⠏⠊⠉⠝⠊⠉
pile	堆起	⠏⠊⠇⠑
pillow	枕著頭;靠	⠏⠊⠇⠇⠪
pin	釘住;壓住;按住;把...歸罪於	⠏⠔
pipe	用管道輸送;吹奏管樂;尖聲叫嚷	⠏⠊⠏⠑
pitch	搭(帳篷);紮(營);為...定調	⠏⠊⠞⠡
plate	鍍;電鍍	⠏⠇⠁⠞⠑
poison	放毒；下毒	⠏⠕⠊⠎⠕⠝
pose	擺姿勢	⠏⠕⠎⠑
post	郵寄;登入(分類帳等);發表	⠏⠕⠌
pot	把...放在罐(或鍋)裡;亂射	⠏⠕⠞
pound	敲打;(心等)劇跳;腳步沈重地走	⠏⠨⠙
praise	讚美	⠏⠗⠁⠊⠎⠑
pray	禱告	⠏⠗⠁⠽
prefer	更喜歡	⠏⠗⠑⠋⠻
press	壓；擠;催逼	⠏⠗⠑⠎⠎
pride	使得意；以...自豪	⠏⠗⠊⠙⠑
prize	重視；珍視;估價	⠏⠗⠊⠵⠑
produce	製造;出產	⠏⠗⠕⠙⠥⠉⠑
progress	前進;進行;上進；提高；進步	⠏⠗⠕⠛⠗⠑⠎⠎
project	計劃;企劃;突出；伸出;投射	⠏⠗⠕⠚⠑⠉⠞
promise	答應	⠏⠗⠕⠍⠊⠎⠑
pronounce	發...音	⠏⠗⠕⠝⠳⠝⠉⠑
propose	提議	⠏⠗⠕⠏⠕⠎⠑
protect	保護	⠏⠗⠕⠞⠑⠉⠞
provide	供應	⠏⠗⠕⠧⠊⠙⠑
pump	跳動;使用唧筒	⠏⠥⠍⠏
punish	處罰	⠏⠥⠝⠊⠩
puzzle	使迷惑	⠏⠥⠵⠵⠇⠑
quarter	把...四等分;供...住宿;;駐紮	⠟⠥⠜⠞⠻
quit	放棄;離職	⠟⠥⠊⠞
quiz	挖苦；嘲弄;考問	⠟⠥⠊⠵
range	排列	⠗⠁⠝⠛⠑
realize	認知;實現	⠗⠂⠇⠊⠵⠑
record	記錄;錄音	⠗⠑⠉⠕⠗⠙
refuse	拒絕	⠗⠑⠋⠥⠎⠑
regard	把...看作;尊重	⠗⠑⠛⠜⠙
reject	拒絕	⠗⠑⠚⠑⠉⠞
repeat	重複	⠗⠑⠏⠂⠞
reply	回答	⠗⠑⠏⠇⠽
require	需要	⠗⠑⠟⠥⠊⠗⠑
respect	尊敬	⠗⠑⠎⠏⠑⠉⠞
result	發生；產生;結果;導致	⠗⠑⠎⠥⠇⠞
review	溫習;回顧	⠗⠑⠧⠊⠑⠺
rock	搖動	⠗⠕⠉⠅
rush	催促;急送	⠗⠥⠩
sample	取...的樣品;抽樣檢查	⠎⠁⠍⠏⠇⠑
sandwich	將..夾在中間；擠進	⠎⠯⠺⠊⠡
satisfy	使滿意	⠎⠁⠞⠊⠎⠋⠽
sauce	給...加調味汁	⠎⠁⠥⠉⠑
score	得分	⠎⠉⠕⠗⠑
screen	篩選;放映電影	⠎⠉⠗⠑⠢
search	搜尋;搜查	⠎⠑⠜⠡
section	把...分成段(或組等);將...切片	⠎⠑⠉⠰⠝
settle	安放;安頓;解決(問題等)	⠎⠑⠞⠞⠇⠑
share	分享	⠩⠜⠑
shell	剝...的殼;砲轟;射擊	⠩⠑⠇⠇
shock	使震動	⠩⠕⠉⠅
shoot	注射;射擊;拍攝	⠩⠕⠕⠞
shower	傾注;洗淋浴	⠩⠪⠻
sign	簽字;做信號	⠎⠊⠛⠝
silence	使沈默;使啞口無言;使安靜	⠎⠊⠇⠰⠑
sink	沉下;陷於	⠎⠔⠅
skirt	繞開；避開	⠎⠅⠊⠗⠞
slide	滑壘滑動	⠎⠇⠊⠙⠑
slip	滑動;鬆脫	⠎⠇⠊⠏
snack	吃快餐;吃點心	⠎⠝⠁⠉⠅
solve	解決	⠎⠕⠇⠧⠑
sort	把...分類	⠎⠕⠗⠞
speed	加速;促進	⠎⠏⠑⠫
spot	沾污;察出	⠎⠏⠕⠞
spread	展開;散布	⠎⠏⠗⠂⠙
spring	彈開;湧現;源(於)	⠎⠏⠗⠬
stage	上演;籌劃;發動	⠌⠁⠛⠑
stamp	頓足;蓋印	⠌⠁⠍⠏
steal	偷竊	⠌⠂⠇
steam	蒸	⠌⠂⠍
steel	鋼化;給...包上鋼	⠌⠑⠑⠇
stick	黏貼;刺;戮;釘住;插牢;堅持	⠌⠊⠉⠅
storm	猛攻	⠌⠕⠗⠍
stream	流;蜂擁而進	⠌⠗⠂⠍
stress	強調	⠌⠗⠑⠎⠎
stretch	舒展肢體；伸懶腰	⠌⠗⠑⠞⠡
strike	打擊;(鐘)敲響	⠌⠗⠊⠅⠑
string	(用線；繩)縛；紮；掛	⠌⠗⠬
