aberrant	異常的；脫軌的	⠁⠃⠻⠗⠁⠝⠞
astonishing	令人驚訝的；驚人的	⠁⠌⠕⠝⠊⠩⠬
astute	精明的；敏銳的	⠁⠌⠥⠞⠑
attachment	附件；依戀	⠁⠞⠞⠁⠡⠰⠞
attainment	成就；達到	⠁⠞⠞⠁⠔⠰⠞
attempt	嘗試；企圖	⠁⠞⠞⠑⠍⠏⠞
attendant	服務員；伴隨的	⠁⠞⠞⠢⠙⠁⠝⠞
attest	證明；證實	⠁⠞⠞⠑⠌
attribute	屬性；歸因於	⠁⠞⠞⠗⠊⠃⠥⠞⠑
augment	增加；擴大	⠁⠥⠛⠰⠞
avenue	大道；途徑	⠁⠧⠢⠥⠑
avid	熱衷的；渴望的	⠁⠧⠊⠙
aware	意識到的；知道的	⠁⠺⠜⠑
awkward	尷尬的；笨拙的	⠁⠺⠅⠺⠜⠙
barely	勉強；幾乎不	⠃⠜⠑⠇⠽
barge	駁船；闖入	⠃⠜⠛⠑
barrier	障礙；屏障	⠃⠜⠗⠊⠻
battle	戰鬥；鬥爭	⠃⠁⠞⠞⠇⠑
beckon	招手示意；引誘	⠃⠑⠉⠅⠕⠝
beforehand	事先；預先	⠆⠋⠓⠯
beholder	觀察者；觀看者	⠆⠓⠕⠇⠙⠻
beneficial	有益的；有利的	⠃⠢⠑⠋⠊⠉⠊⠁⠇
bestow	給予；授予	⠆⠌⠪
blend	混合；融合	⠃⠇⠢⠙
blossom	開花；發展	⠃⠇⠕⠎⠎⠕⠍
boast	自誇；吹噓	⠃⠕⠁⠌
bold	大膽的；醒目的	⠃⠕⠇⠙
bombard	轟炸；攻擊	⠃⠕⠍⠃⠜⠙
boost	提升；增加	⠃⠕⠕⠌
boundary	邊界；界限	⠃⠨⠙⠜⠽
breed	繁殖；培育；品種	⠃⠗⠑⠫
brittle	易碎的；脆弱的	⠃⠗⠊⠞⠞⠇⠑
broad	寬的；廣泛的	⠃⠗⠕⠁⠙
bulk	大量；大塊	⠃⠥⠇⠅
burgeon	迅速發展；激增	⠃⠥⠗⠛⠑⠕⠝
burst	爆發；突然出現	⠃⠥⠗⠌
bustling	繁忙的；熙熙攘攘的	⠃⠥⠌⠇⠬
boom	繁榮；迅速增長；隆隆聲	⠃⠕⠕⠍
camouflage	偽裝；掩飾	⠉⠁⠍⠳⠋⠇⠁⠛⠑
cardinal	主要的；基本的；紅衣主教	⠉⠜⠙⠔⠁⠇
cargo	貨物	⠉⠜⠛⠕
carve	雕刻；切割	⠉⠜⠧⠑
cautious	謹慎的；小心的	⠉⠁⠥⠞⠊⠳⠎
celebrated	著名的；有名的	⠉⠑⠇⠑⠃⠗⠁⠞⠫
certain	確定的；某些	⠉⠻⠞⠁⠔
chancy	不確定的；冒險的	⠡⠁⠝⠉⠽
channel	頻道；途徑；引導	⠡⠁⠝⠝⠑⠇
chaotic	混亂的；無秩序的	⠡⠁⠕⠞⠊⠉
chase	追逐；追求	⠡⠁⠎⠑
chief	首要的；首席的；領袖	⠡⠊⠑⠋
chisel	鑿子；雕刻	⠡⠊⠎⠑⠇
chronic	慢性的；長期的	⠡⠗⠕⠝⠊⠉
circuitous	迂迴的；繞行的	⠉⠊⠗⠉⠥⠊⠞⠳⠎
circumstance	情況；環境	⠉⠊⠗⠉⠥⠍⠌⠨⠑
classify	分類；歸類	⠉⠇⠁⠎⠎⠊⠋⠽
clever	聰明的；靈巧的	⠉⠇⠐⠑
climb	爬；攀登	⠉⠇⠊⠍⠃
cling	緊貼；依附	⠉⠇⠬
clue	線索；提示	⠉⠇⠥⠑
coating	塗層；覆蓋物	⠉⠕⠁⠞⠬
coincide	同時發生；一致	⠉⠕⠔⠉⠊⠙⠑
collaboration	合作；協作	⠉⠕⠇⠇⠁⠃⠕⠗⠁⠰⠝
collide	碰撞；衝突	⠉⠕⠇⠇⠊⠙⠑
commemorate	紀念；慶祝	⠉⠕⠍⠍⠑⠍⠕⠗⠁⠞⠑
compact	緊湊的；壓縮	⠉⠕⠍⠏⠁⠉⠞
comparable	可比較的；類似的	⠉⠕⠍⠏⠜⠁⠃⠇⠑
comparative	比較的；相對的	⠉⠕⠍⠏⠜⠁⠞⠊⠧⠑
compatible	相容的；一致的	⠉⠕⠍⠏⠁⠞⠊⠃⠇⠑
compel	強迫；促使	⠉⠕⠍⠏⠑⠇
compensate	補償；彌補	⠉⠕⠍⠏⠢⠎⠁⠞⠑
complaint	投訴；抱怨	⠉⠕⠍⠏⠇⠁⠔⠞
complement	補充；補足	⠉⠕⠍⠏⠇⠑⠰⠞
component	組成部分；元件	⠉⠕⠍⠏⠕⠝⠢⠞
composition	組成；作文；作曲	⠉⠕⠍⠏⠕⠎⠊⠰⠝
compressed	壓縮的；縮小的	⠉⠕⠍⠏⠗⠑⠎⠎⠫
comprise	包含；由...組成	⠉⠕⠍⠏⠗⠊⠎⠑
conceal	隱藏；隱瞞	⠒⠉⠂⠇
concentration	專心；濃度	⠒⠉⠢⠞⠗⠁⠰⠝
concern	關心；擔憂	⠒⠉⠻⠝
concise	簡明的；簡潔的	⠒⠉⠊⠎⠑
conclusive	決定性的；確定的	⠒⠉⠇⠥⠎⠊⠧⠑
concrete	具體的；混凝土	⠒⠉⠗⠑⠞⠑
condemn	譴責；判刑	⠒⠙⠑⠍⠝
conducive	有助的；有益的	⠒⠙⠥⠉⠊⠧⠑
configuration	配置；結構	⠒⠋⠊⠛⠥⠗⠁⠰⠝
confine	限制；禁閉	⠒⠋⠔⠑
confirm	確認；證實	⠒⠋⠊⠗⠍
confront	面對；對抗	⠒⠋⠗⠕⠝⠞
congeal	凝固；凍結	⠒⠛⠂⠇
consecutive	連續的；連貫的	⠒⠎⠑⠉⠥⠞⠊⠧⠑
consequence	結果；後果	⠒⠎⠑⠟⠥⠰⠑
consequential	重要的；隨之發生的	⠒⠎⠑⠟⠥⠢⠞⠊⠁⠇
conserve	保存；保護	⠒⠎⠻⠧⠑
consider	考慮；認為	⠒⠎⠊⠙⠻
considerable	相當大的；重要的	⠒⠎⠊⠙⠻⠁⠃⠇⠑
consist	由...組成；在於	⠒⠎⠊⠌
consistently	一貫地；持續地	⠒⠎⠊⠌⠢⠞⠇⠽
conspicuous	顯眼的；顯著的	⠒⠎⠏⠊⠉⠥⠳⠎
constantly	不斷地；時常地	⠒⠌⠁⠝⠞⠇⠽
constellation	星座；一群傑出人物	⠒⠌⠑⠇⠇⠁⠰⠝
constituent	成分；選民	⠒⠌⠊⠞⠥⠢⠞
constitution	憲法；體質	⠒⠌⠊⠞⠥⠰⠝
constrain	限制；約束	⠒⠌⠗⠁⠔
consume	消耗；吃喝	⠒⠎⠥⠍⠑
contemplate	沉思；考慮	⠒⠞⠑⠍⠏⠇⠁⠞⠑
contentious	引起爭議的；好爭論的	⠒⠞⠢⠞⠊⠳⠎
continual	持續的；頻繁的	⠒⠞⠔⠥⠁⠇
continuous	不斷的；連續的	⠒⠞⠔⠥⠳⠎
contrary	相反的；對立的	⠒⠞⠗⠜⠽
contributive	貢獻的；有助的	⠒⠞⠗⠊⠃⠥⠞⠊⠧⠑
contrive	設計；策劃	⠒⠞⠗⠊⠧⠑
converging	會合的；趨同的	⠒⠧⠻⠛⠬
conversion	轉換；轉變	⠒⠧⠻⠨⠝
convict	定罪；罪犯	⠒⠧⠊⠉⠞
cooperate	合作；協作	⠉⠕⠕⠏⠻⠁⠞⠑
cope	應對；處理	⠉⠕⠏⠑
copious	豐富的；大量的	⠉⠕⠏⠊⠳⠎
core	核心；核心的	⠉⠕⠗⠑
correspondence	通信；對應	⠉⠕⠗⠗⠑⠎⠏⠕⠝⠙⠰⠑
corresponding	相應的；一致的	⠉⠕⠗⠗⠑⠎⠏⠕⠝⠙⠬
corroborate	證實；支持	⠉⠕⠗⠗⠕⠃⠕⠗⠁⠞⠑
counter	反駁；櫃臺；相反的	⠉⠨⠞⠻
counterpart	對應物；對等者	⠉⠨⠞⠻⠐⠏
countervail	抵消；對抗	⠉⠨⠞⠻⠧⠁⠊⠇
countless	無數的；數不清的	⠉⠨⠞⠨⠎
crawl	爬行；緩慢前進	⠉⠗⠁⠺⠇
crest	頂峰；波峰	⠉⠗⠑⠌
crisis	危機；緊急情況	⠉⠗⠊⠎⠊⠎
critical	批判的；關鍵的；危急的	⠉⠗⠊⠞⠊⠉⠁⠇
criticize	批評；指責	⠉⠗⠊⠞⠊⠉⠊⠵⠑
cross	穿過；交叉；十字形	⠉⠗⠕⠎⠎
crucial	關鍵的；至關重要的	⠉⠗⠥⠉⠊⠁⠇
crushed	壓碎的；心碎的	⠉⠗⠥⠩⠫
cultivated	培養的；耕種的	⠉⠥⠇⠞⠊⠧⠁⠞⠫
cumbersome	笨重的；繁瑣的	⠉⠥⠍⠃⠻⠐⠎
curb	抑制；控制	⠉⠥⠗⠃
cure	治癒；治療	⠉⠥⠗⠑
dainty	精緻的；嬌美的	⠙⠁⠔⠞⠽
dam	水壩；阻止	⠙⠁⠍
dangle	懸掛；搖晃	⠙⠁⠝⠛⠇⠑
daring	大膽的；勇敢的	⠙⠜⠬
decent	體面的；正派的	⠙⠑⠉⠢⠞
decimate	大量毀滅；嚴重削弱	⠙⠑⠉⠊⠍⠁⠞⠑
decisively	果斷地；決定性地	⠙⠑⠉⠊⠎⠊⠧⠑⠇⠽
decorate	裝飾；美化	⠙⠑⠉⠕⠗⠁⠞⠑
dedicated	專注的；專用的	⠙⠫⠊⠉⠁⠞⠫
deform	使變形；損毀	⠙⠑⠿⠍
delicate	精細的；脆弱的	⠙⠑⠇⠊⠉⠁⠞⠑
delight	高興；使愉快	⠙⠑⠇⠊⠣⠞
deluxe	豪華的；高檔的	⠙⠑⠇⠥⠭⠑
demand	需求；要求	⠙⠑⠍⠯
demise	死亡；終止	⠙⠑⠍⠊⠎⠑
demography	人口統計學；人口結構	⠙⠑⠍⠕⠛⠗⠁⠏⠓⠽
demolish	拆除；摧毀	⠙⠑⠍⠕⠇⠊⠩
dense	密集的；濃密的	⠙⠢⠎⠑
departure	離開；出發	⠙⠑⠐⠏⠥⠗⠑
depict	描繪；描述	⠙⠑⠏⠊⠉⠞
depletion	耗盡；消耗	⠙⠑⠏⠇⠑⠰⠝
deposit	存款；沉積物；押金	⠙⠑⠏⠕⠎⠊⠞
deprive	剝奪；使喪失	⠙⠑⠏⠗⠊⠧⠑
derive	獲得；起源於	⠙⠻⠊⠧⠑
descend	下降；傳承	⠙⠑⠎⠉⠢⠙
designate	指定；任命	⠙⠑⠎⠊⠛⠝⠁⠞⠑
despise	鄙視；輕視	⠙⠑⠎⠏⠊⠎⠑
determine	決定；下決心	⠙⠑⠞⠻⠍⠔⠑
detractor	批評者；貶低者	⠙⠑⠞⠗⠁⠉⠞⠕⠗
detrimental	有害的；不利的	⠙⠑⠞⠗⠊⠰⠞⠁⠇
deviate	偏離；背離	⠙⠑⠧⠊⠁⠞⠑
devise	設計；策劃	⠙⠑⠧⠊⠎⠑
devoid	缺乏的；沒有的	⠙⠑⠧⠕⠊⠙
devoted	忠誠的；專心的	⠙⠑⠧⠕⠞⠫
dictate	支配；口述	⠙⠊⠉⠞⠁⠞⠑
differential	差別的；差額	⠙⠊⠖⠻⠢⠞⠊⠁⠇
diffuse	擴散；傳播；散開的	⠙⠊⠖⠥⠎⠑
digress	偏離主題；離題	⠙⠊⠛⠗⠑⠎⠎
diligent	勤奮的；用功的	⠙⠊⠇⠊⠛⠢⠞
dilute	稀釋；削弱	⠙⠊⠇⠥⠞⠑
dim	昏暗的；模糊的	⠙⠊⠍
disassemble	拆解；分解	⠲⠁⠎⠎⠑⠍⠃⠇⠑
disband	解散；解體	⠲⠃⠯
discard	丟棄；拋棄	⠲⠉⠜⠙
discernible	可辨別的；明顯的	⠲⠉⠻⠝⠊⠃⠇⠑
discharge	釋放；排放；履行	⠲⠡⠜⠛⠑
discriminating	有辨別能力的；有鑑賞力的	⠲⠉⠗⠊⠍⠔⠁⠞⠬
disentangle	解開；理順	⠲⠢⠞⠁⠝⠛⠇⠑
disguise	偽裝；掩飾	⠲⠛⠥⠊⠎⠑
disgust	厭惡；反感	⠲⠛⠥⠌
disintegrate	瓦解；分解	⠲⠔⠞⠑⠛⠗⠁⠞⠑
dismantle	拆除；分解	⠲⠍⠁⠝⠞⠇⠑
disorder	混亂；失調	⠲⠕⠗⠙⠻
dispensable	可有可無的；不必要的	⠲⠏⠢⠎⠁⠃⠇⠑
dispersal	散布；分散	⠲⠏⠻⠎⠁⠇
disperse	分散；驅散	⠲⠏⠻⠎⠑
dispersion	散布；分散	⠲⠏⠻⠨⠝
displace	取代；迫使離開	⠲⠏⠇⠁⠉⠑
disposition	性情；傾向；布置	⠲⠏⠕⠎⠊⠰⠝
dispute	爭論；爭議	⠲⠏⠥⠞⠑
disputed	有爭議的；被質疑的	⠲⠏⠥⠞⠫
dissipate	消散；消失	⠲⠎⠊⠏⠁⠞⠑
dissuade	勸阻；阻止	⠲⠎⠥⠁⠙⠑
distaste	厭惡；反感	⠲⠞⠁⠌⠑
distinct	明顯的；獨特的	⠲⠞⠔⠉⠞
distinction	區別；榮譽	⠲⠞⠔⠉⠰⠝
distinctive	獨特的；特別的	⠲⠞⠔⠉⠞⠊⠧⠑
distinguish	區分；辨別	⠲⠞⠬⠥⠊⠩
distribution	分布；分配	⠲⠞⠗⠊⠃⠥⠰⠝
disturb	打擾；擾亂	⠲⠞⠥⠗⠃
diverse	多樣的；不同的	⠙⠊⠧⠻⠎⠑
diversification	多樣化；分散化	⠙⠊⠧⠻⠎⠊⠋⠊⠉⠁⠰⠝
diversity	多樣性；差異	⠙⠊⠧⠻⠎⠰⠽
divest	剝奪；脫去	⠙⠊⠧⠑⠌
division	分割；部門	⠙⠊⠧⠊⠨⠝
domestic	國內的；家庭的	⠙⠕⠍⠑⠌⠊⠉
domesticate	馴化；教化	⠙⠕⠍⠑⠌⠊⠉⠁⠞⠑
dominant	主導的；占優勢的	⠙⠕⠍⠔⠁⠝⠞
dominate	控制；支配	⠙⠕⠍⠔⠁⠞⠑
doom	厄運；注定	⠙⠕⠕⠍
dormant	休眠的；靜止的	⠙⠕⠗⠍⠁⠝⠞
drain	排水；耗盡	⠙⠗⠁⠔
dramatically	顯著地；戲劇性地	⠙⠗⠁⠍⠁⠞⠊⠉⠁⠇⠇⠽
drastic	激烈的；劇烈的	⠙⠗⠁⠌⠊⠉
drastically	大幅地；徹底地	⠙⠗⠁⠌⠊⠉⠁⠇⠇⠽
draw	繪畫；吸引；拉	⠙⠗⠁⠺
duplicate	複製；副本	⠙⠥⠏⠇⠊⠉⠁⠞⠑
durable	耐用的；持久的	⠙⠥⠗⠁⠃⠇⠑
dye	染色；染料	⠙⠽⠑
earn	賺取；獲得	⠑⠜⠝
ease	減輕；輕鬆	⠑⠁⠎⠑
eccentric	古怪的；異常的	⠑⠒⠢⠞⠗⠊⠉
efface	抹去；消除	⠑⠖⠁⠉⠑
elaborate	精心製作的；詳細闡述	⠑⠇⠁⠃⠕⠗⠁⠞⠑
elaborated	詳細的；複雜的	⠑⠇⠁⠃⠕⠗⠁⠞⠫
elapsed	過去的；流逝	⠑⠇⠁⠏⠎⠫
elicit	引出；引起	⠑⠇⠊⠉⠊⠞
eliminate	消除；淘汰	⠑⠇⠊⠍⠔⠁⠞⠑
elusive	難以捉摸的；難以找到的	⠑⠇⠥⠎⠊⠧⠑
emanate	散發；發出	⠑⠍⠁⠝⠁⠞⠑
embark	開始；登船	⠑⠍⠃⠜⠅
embed	嵌入；植入	⠑⠍⠃⠫
emerge	出現；浮現	⠑⠍⠻⠛⠑
emergence	出現；顯現	⠑⠍⠻⠛⠰⠑
emergency	緊急情況；突發事件	⠑⠍⠻⠛⠢⠉⠽
emergent	新興的；緊急的	⠑⠍⠻⠛⠢⠞
eminent	傑出的；顯赫的	⠑⠍⠔⠢⠞
enact	制定；實施	⠢⠁⠉⠞
encapsulate	概括；封裝	⠢⠉⠁⠏⠎⠥⠇⠁⠞⠑
enclose	圍繞；附上	⠢⠉⠇⠕⠎⠑
endanger	危及；使處於危險	⠢⠙⠁⠝⠛⠻
endeavor	努力；嘗試	⠢⠙⠂⠧⠕⠗
endow	賦予；捐贈	⠢⠙⠪
endure	忍受；持續	⠢⠙⠥⠗⠑
engulf	吞沒；吞噬	⠢⠛⠥⠇⠋
enhance	提高；增強	⠢⠓⠨⠑
enlargement	擴大；增大	⠢⠇⠜⠛⠑⠰⠞
enlist	招募；入伍	⠢⠇⠊⠌
enormous	巨大的；龐大的	⠢⠕⠗⠍⠳⠎
enrich	使豐富；充實	⠢⠗⠊⠡
ensuing	隨後的；接著發生的	⠢⠎⠥⠬
ensure	確保；保證	⠢⠎⠥⠗⠑
enterprise	企業；事業	⠢⠞⠻⠏⠗⠊⠎⠑
entitled	有資格的；被賦予權利的	⠢⠞⠊⠞⠇⠫
ephemeral	短暫的；轉瞬即逝的	⠑⠏⠓⠑⠍⠻⠁⠇
equilibrium	平衡；均衡	⠑⠟⠥⠊⠇⠊⠃⠗⠊⠥⠍
equivalent	相等的；等同的	⠑⠟⠥⠊⠧⠁⠇⠢⠞
era	時代；紀元	⠻⠁
eradicate	根除；消滅	⠻⠁⠙⠊⠉⠁⠞⠑
erect	豎立；建造	⠻⠑⠉⠞
erratic	不穩定的；古怪的	⠻⠗⠁⠞⠊⠉
erroneous	錯誤的；不正確的	⠻⠗⠕⠝⠑⠳⠎
escalate	升級；加劇	⠑⠎⠉⠁⠇⠁⠞⠑
essential	必要的；基本的	⠑⠎⠎⠢⠞⠊⠁⠇
establish	建立；確立	⠑⠌⠁⠃⠇⠊⠩
estimate	估計；評估	⠑⠌⠊⠍⠁⠞⠑
euphoric	興奮的；欣快的	⠑⠥⠏⠓⠕⠗⠊⠉
event	事件；活動	⠑⠧⠢⠞
evident	明顯的；顯而易見的	⠑⠧⠊⠙⠢⠞
evoke	喚起；引起	⠑⠧⠕⠅⠑
evolution	進化；演變	⠑⠧⠕⠇⠥⠰⠝
exaggerate	誇張；誇大	⠑⠭⠁⠶⠻⠁⠞⠑
excavate	挖掘；發掘	⠑⠭⠉⠁⠧⠁⠞⠑
exceed	超過；超出	⠑⠭⠉⠑⠫
excess	過量；過度	⠑⠭⠉⠑⠎⠎
excessive	過度的；過分的	⠑⠭⠉⠑⠎⠎⠊⠧⠑
exclude	排除；不包括	⠑⠭⠉⠇⠥⠙⠑
exclusively	專門地；僅僅	⠑⠭⠉⠇⠥⠎⠊⠧⠑⠇⠽
excrete	排泄；分泌	⠑⠭⠉⠗⠑⠞⠑
exert	施加；運用	⠑⠭⠻⠞
exhibit	展示；展覽	⠑⠭⠓⠊⠃⠊⠞
expand	擴展；擴大	⠑⠭⠏⠯
expanse	廣闊區域；寬闊	⠑⠭⠏⠁⠝⠎⠑
expansion	擴展；擴大	⠑⠭⠏⠁⠝⠨⠝
expediency	權宜之計；方便	⠑⠭⠏⠫⠊⠢⠉⠽
expedient	方便的；權宜的	⠑⠭⠏⠫⠊⠢⠞
expel	驅逐；排出	⠑⠭⠏⠑⠇
expend	花費；消耗	⠑⠭⠏⠢⠙
explicit	明確的；清楚的	⠑⠭⠏⠇⠊⠉⠊⠞
exploit	利用；剝削	⠑⠭⠏⠇⠕⠊⠞
expose	暴露；揭露	⠑⠭⠏⠕⠎⠑
express	表達；快遞	⠑⠭⠏⠗⠑⠎⠎
extant	現存的；尚存的	⠑⠭⠞⠁⠝⠞
extend	延長；擴展	⠑⠭⠞⠢⠙
extent	程度；範圍	⠑⠭⠞⠢⠞
extol	讚美；頌揚	⠑⠭⠞⠕⠇
extraneous	無關的；外來的	⠑⠭⠞⠗⠁⠝⠑⠳⠎
exude	流露；散發	⠑⠭⠥⠙⠑
fabricate	捏造；製造	⠋⠁⠃⠗⠊⠉⠁⠞⠑
facilitate	促進；使便利	⠋⠁⠉⠊⠇⠊⠞⠁⠞⠑
far-reaching	深遠的；廣泛的	⠋⠜⠤⠗⠂⠡⠬
fascinating	迷人的；引人入勝的	⠋⠁⠎⠉⠔⠁⠞⠬
fashionable	時尚的；流行的	⠋⠁⠩⠊⠕⠝⠁⠃⠇⠑
fateful	重大的；命運的	⠋⠁⠞⠑⠰⠇
feasible	可行的；可能的	⠋⠂⠎⠊⠃⠇⠑
feast	盛宴；盡情享受	⠋⠂⠌
feather	羽毛	⠋⠂⠮⠗
fence	籬笆；圍欄	⠋⠰⠑
ferry	渡船；渡運	⠋⠻⠗⠽
fertile	肥沃的；多產的	⠋⠻⠞⠊⠇⠑
filter	過濾；篩選	⠋⠊⠇⠞⠻
first	and	⠋⠌
flake	薄片；剝落	⠋⠇⠁⠅⠑
flattery	奉承；恭維	⠋⠇⠁⠞⠞⠻⠽
flee	逃跑；逃離	⠋⠇⠑⠑
float	漂浮；浮動	⠋⠇⠕⠁⠞
flourish	繁榮；茂盛	⠋⠇⠳⠗⠊⠩
fluctuate	波動；起伏	⠋⠇⠥⠉⠞⠥⠁⠞⠑
forage	搜尋（食物）；飼料	⠿⠁⠛⠑
force	力量；強迫	⠿⠉⠑
foremost	最重要的；最先的	⠿⠑⠍⠕⠌
formidable	強大的；令人敬畏的	⠿⠍⠊⠙⠁⠃⠇⠑
foster	培養；促進	⠋⠕⠌⠻
foul	惡臭的；犯規	⠋⠳⠇
fragile	易碎的；脆弱的	⠋⠗⠁⠛⠊⠇⠑
fragmentation	碎裂；分裂	⠋⠗⠁⠛⠰⠞⠁⠰⠝
fragmentize	使成碎片；分裂	⠋⠗⠁⠛⠰⠞⠊⠵⠑
fragrant	芳香的；香的	⠋⠗⠁⠛⠗⠁⠝⠞
frankly	坦率地；直率地	⠋⠗⠁⠝⠅⠇⠽
friction	摩擦；衝突	⠋⠗⠊⠉⠰⠝
funds	資金；款項	⠋⠥⠝⠙⠎
gear	齒輪；裝備；調整	⠛⠑⠜
generate	產生；引起	⠛⠢⠻⠁⠞⠑
genuinely	真誠地；真正地	⠛⠢⠥⠔⠑⠇⠽
govern	統治；管理	⠛⠕⠧⠻⠝
grasp	抓住；理解	⠛⠗⠁⠎⠏
groom	整理；打扮；培養	⠛⠗⠕⠕⠍
groundless	毫無根據的；無理由的	⠛⠗⠨⠙⠨⠎
grounds	根據；場地	⠛⠗⠨⠙⠎
groundwork	基礎工作；準備工作	⠛⠗⠨⠙⠐⠺
grudging	勉強的；不情願的	⠛⠗⠥⠙⠛⠬
guarantee	保證；擔保	⠛⠥⠜⠁⠝⠞⠑⠑
habitual	習慣的；慣常的	⠓⠁⠃⠊⠞⠥⠁⠇
hallmark	特點；標誌	⠓⠁⠇⠇⠍⠜⠅
